global,room;entrance,room;,room;mash,room;curio,r;final_room,c;,c;mash,c;curio,c;trap,c;obstacle,//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fog_of_war=on,ROOM TILES,,,,,CORRIDOR TILES,,,,,COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,room;texture=>RMSW;curio=cc_hive,c;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,c;trap=slumbering_vampire;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,room;texture=room_wall.start;entrance,c;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,c;trap=blood_puddle;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,room;texture=>RMSW;curio=cc_shrew_hooded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>TRCNOBLD,,,,,,,,,,,,c;texture=>SWAMPBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,room;texture=>RMSW;mash=named_c_A_2,,,,,c;curio=cc_wine_crate;texture=>SWAMPBLD,,,,,,,,,,,,c;texture=>HDGNOBLD,,,,,room;texture=>RMSW;mash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,c;texture=>SWAMPBLD,,,,,,,,,,,,c;mash=named_c_A_1;texture=>SWAMPBLD,,,,,c;texture=>SWAMPNOBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,c;mash=named_c_A_1;texture=>SWAMPBLD,,,,,,,,,,,,c;curio=cc_hive;texture=>SWAMPBLD,,,,,c;texture=>SWAMPBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>SWAMPBLD,,,,,c;texture=>SWAMPBLD,,,,,,,,,,,,c;texture=>SWAMPBLD,,,,,c;mash=named_c_A_2;texture=>SWAMPBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,c;curio=cc_hive;texture=>SWAMPBLD,,,,,c;texture=>SWAMPNOBLD,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,c;texture=>SWAMPBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>SWAMPNOBLD,c;texture=>TRCNOBLD,c;trap=slumbering_vampire;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,c;texture=>SWAMPNOBLD,room;texture=>RMSW;tag=MIST_A_dest,,// DEST MIST A,,,,,,,,,,room;texture=>RMSW;curio=cc_bloodflower,c;texture=>HDGBLD,c;texture=>TRCBLD,c;curio=cc_bloodflower;texture=>SWAMPBLD,c;texture=>SWAMPBLD,c;texture=>SWAMPNOBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,,,,,,,,c;texture=>SWAMPNOBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
